State,County Name,FIPS State,FIPS County,FIPS
Alabama,Autauga,1,1,1
Alabama,Baldwin,1,3,2
Alabama,Barbour,1,5,4
Alabama,Bibb,1,7,5
Alabama,Blount,1,9,6
Alabama,Bullock,1,11,7
Alabama,Butler,1,13,8
Alabama,Calhoun,1,15,9
Alabama,Chambers,1,17,10
Alabama,Cherokee,1,19,11
Alabama,Chilton,1,21,12
Alabama,Choctaw,1,23,13
Alabama,Clarke,1,25,14
Alabama,Clay,1,27,15
Alabama,Cleburne,1,29,16
Alabama,Coffee,1,31,17
Alabama,Colbert,1,33,18
Alabama,Conecuh,1,35,19
Alabama,Coosa,1,37,20
Alabama,Covington,1,39,21
Alabama,Crenshaw,1,41,22
Alabama,Cullman,1,43,23
Alabama,Dale,1,45,24
Alabama,Dallas,1,47,25
Alabama,De Kalb,1,49,26
Alabama,Elmore,1,51,27
Alabama,Escambia,1,53,28
Alabama,Etowah,1,55,29
Alabama,Fayette,1,57,30
Alabama,Franklin,1,59,31
Alabama,Geneva,1,61,32
Alabama,Greene,1,63,33
Alabama,Hale,1,65,34
Alabama,Henry,1,67,35
Alabama,Houston,1,69,36
Alabama,Jackson,1,71,37
Alabama,Jefferson,1,73,38
Alabama,Lamar,1,75,39
Alabama,Lauderdale,1,77,40
Alabama,Lawrence,1,79,41
Alabama,Lee,1,81,42
Alabama,Limestone,1,83,43
Alabama,Lowndes,1,85,44
Alabama,Macon,1,87,45
Alabama,Madison,1,89,46
Alabama,Marengo,1,91,47
Alabama,Marion,1,93,48
Alabama,Marshall,1,95,49
Alabama,Mobile,1,97,50
Alabama,Monroe,1,99,51
Alabama,Montgomery,1,101,52
Alabama,Morgan,1,103,53
Alabama,Perry,1,105,54
Alabama,Pickens,1,107,55
Alabama,Pike,1,109,56
Alabama,Randolph,1,111,1001
Alabama,Russell,1,113,1003
Alabama,St Clair,1,115,1005
Alabama,Shelby,1,117,1007
Alabama,Sumter,1,119,1009
Alabama,Talladega,1,121,1011
Alabama,Tallapoosa,1,123,1013
Alabama,Tuscaloosa,1,125,1015
Alabama,Walker,1,127,1017
Alabama,Washington,1,129,1019
Alabama,Wilcox,1,131,1021
Alabama,Winston,1,133,1023
Alaska,Aleutians East,2,13,1025
Alaska,Aleutians West,2,16,1027
Alaska,Anchorage,2,20,1029
Alaska,Bethel,2,50,1031
Alaska,Bristol Bay,2,60,1033
Alaska,Denali,2,68,1035
Alaska,Dillingham,2,70,1037
Alaska,Fairbanks North Star,2,90,1039
Alaska,Haines,2,100,1041
Alaska,Juneau,2,110,1043
Alaska,Kenai Peninsula,2,122,1045
Alaska,Ketchikan Gateway,2,130,1047
Alaska,Kodiak Island,2,150,1049
Alaska,Kusilvak Census Area,2,158,1051
Alaska,Lake and Peninsula,2,164,1053
Alaska,Matanuska Susitna,2,170,1055
Alaska,Nome,2,180,1057
Alaska,North Slope,2,185,1059
Alaska,Northwest Arctic,2,188,1061
Alaska,Petersburg Borough,2,195,1063
Alaska,Prince Wales Ketchikan,2,201,1065
Alaska,Sitka,2,220,1067
Alaska,Skagway Hoonah Angoon,2,232,1069
Alaska,Southeast Fairbanks,2,240,1071
Alaska,Valdez Cordova,2,261,1073
Alaska,Wade Hampton,2,270,1075
Alaska,Wrangell Petersburg,2,280,1077
Alaska,Yakutat,2,282,1079
Alaska,Yukon Koyukuk,2,290,1081
Arizona,Apache,4,1,1083
Arizona,Cochise,4,3,1085
Arizona,Coconino,4,5,1087
Arizona,Gila,4,7,1089
Arizona,Graham,4,9,1091
Arizona,Greenlee,4,11,1093
Arizona,La Paz,4,12,1095
Arizona,Maricopa,4,13,1097
Arizona,Mohave,4,15,1099
Arizona,Navajo,4,17,1101
Arizona,Pima,4,19,1103
Arizona,Pinal,4,21,1105
Arizona,Santa Cruz,4,23,1107
Arizona,Yavapai,4,25,1109
Arizona,Yuma,4,27,1111
Arkansas,Arkansas,5,1,1113
Arkansas,Ashley,5,3,1115
Arkansas,Baxter,5,5,1117
Arkansas,Benton,5,7,1119
Arkansas,Boone,5,9,1121
Arkansas,Bradley,5,11,1123
Arkansas,Calhoun,5,13,1125
Arkansas,Carroll,5,15,1127
Arkansas,Chicot,5,17,1129
Arkansas,Clark,5,19,1131
Arkansas,Clay,5,21,1133
Arkansas,Cleburne,5,23,2013
Arkansas,Cleveland,5,25,2016
Arkansas,Columbia,5,27,2020
Arkansas,Conway,5,29,2050
Arkansas,Craighead,5,31,2060
Arkansas,Crawford,5,33,2068
Arkansas,Crittenden,5,35,2070
Arkansas,Cross,5,37,2090
Arkansas,Dallas,5,39,2100
Arkansas,Desha,5,41,2110
Arkansas,Drew,5,43,2122
Arkansas,Faulkner,5,45,2130
Arkansas,Franklin,5,47,2150
Arkansas,Fulton,5,49,2158
Arkansas,Garland,5,51,2164
Arkansas,Grant,5,53,2170
Arkansas,Greene,5,55,2180
Arkansas,Hempstead,5,57,2185
Arkansas,Hot Spring,5,59,2188
Arkansas,Howard,5,61,2195
Arkansas,Independence,5,63,2201
Arkansas,Izard,5,65,2220
Arkansas,Jackson,5,67,2232
Arkansas,Jefferson,5,69,2240
